"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3010000","102","1999","12137","유흥주점영업","19990803","잘로스 클럽(ZALUUS CLUB)","서울특별시 중구 장충단로 225 (광희동1가지하1층)","서울특별시 중구 광희동1가  193번지 0호  지하1층","115.62","  0222754197  ","20160714","","19990803","광희동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","6.93","38.13","0.00","0.00","2.25","0.00","10.05","58.26","","","","","3010000-102-1999-12137","","","","","","내국인","대한민국"
"3010000","102","1999","12212","유흥주점영업","19990913","월드컵","서울특별시 중구 을지로44길 13 (광희동1가)","서울특별시 중구 광희동1가  182번지 21호  ","145.88","  0222757628  ","20161221","","20010419","광희동","","","","룸살롱","0","0","1","1","0","","비대상","상수도전용","지하","0","0","","","","","","","7.28","61.23","0.00","27.90","6.57","0.00","0.00","42.90","","","","","3010000-102-1999-12212","","","","","","내국인","대한민국"
"3010000","102","2000","13204","유흥주점영업","20001014","골드","서울특별시 중구 을지로44길 23 (광희동1가)","서울특별시 중구 광희동1가  187번지 2호  ","87.28","  0222852882  ","20170530","","20010901","광희동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","7.26","0.00","0.00","11.48","7.84","0.00","0.00","60.70","","","","","3010000-102-2000-13204","","","","","","내국인","대한민국"
"3010000","102","2001","13579","유흥주점영업","20010321","부산항 노래짱","서울특별시 중구 을지로44길 19 (광희동1가)","서울특별시 중구 광희동1가  187번지 1호  ","","  0222693404  ","20130422","","20010327","광희동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","8.60","75.00","","27.90","6.50","","","","","","","","3010000-102-2001-13579","","","","","","내국인","대한민국"
"3010000","102","2001","13989","유흥주점영업","20011207","별천지","서울특별시 중구 을지로42길 11 (광희동1가지하1층)","서울특별시 중구 광희동1가  130번지  지하1층","94.20","  0222752433  ","20150622","","20011207","광희동","","","","룸살롱","0","0","1","1","0","","비대상","상수도전용","지하","0","0","","","","","","","8.11","52.87","0.00","27.97","5.25","0.00","0.00","0.00","0.00","0.00","","","3010000-102-2001-13989","","","","","","내국인","대한민국"
"3010000","102","2002","00023","유흥주점영업","20020527","도원","서울특별시 중구 을지로44길 27 (광희동1가지하1층)","서울특별시 중구 광희동1가  187번지 5호  지하1층","","  0222633060  ","20170818","","20020527","광희동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","8.00","","","","12.00","","","78.00","","","","","3010000-102-2002-00023","","","","","","내국인","대한민국"
"3010000","102","2002","00027","유흥주점영업","20020617","여명주점","서울특별시 중구 마른내로 163 (광희동1가2층)","서울특별시 중구 광희동1가  175번지 2호  2층","39.18","  0222692168  ","20100902","","20020617","광희동","","","","룸살롱","2","2","0","0","3","","비대상","상수도전용","지상","0","2","","","","","","","3.30","21.00","0.00","0.00","0.00","4.00","0.00","14.88","0.00","0.00","","","3010000-102-2002-00027","","","","","","내국인","대한민국"
"3010000","102","2002","00059","유흥주점영업","20021218","환영노래터","서울특별시 중구 을지로40길 18 (광희동1가(지하1층))","서울특별시 중구 광희동1가  45번지 0호  (지하1층)","98.66","  0222731711  ","20060428","","20021218","광희동","","","","룸살롱","","","","","","","비대상","","지하","","","","","","","","","0.00","0.00","0.00","98.66","0.00","0.00","0.00","0.00","","","","","3010000-102-2002-00059","","","","","","내국인","대한민국"
"3010000","102","2003","00011","유흥주점영업","20030611","하탄톨(KHATAN TUUL)","서울특별시 중구 마른내로 159 (광희동1가(2층))","서울특별시 중구 광희동1가  103번지 1호  (2층)","","","20120703","","20030611","광희동","20120830","자진폐업","지병","룸살롱","","","","","","","비대상","","지상","","","","","","","","","4.97","48.23","","18.81","2.47","","","","","","","","3010000-102-2003-00011","","","","","","내국인","대한민국"
"3010000","102","2003","00016","유흥주점영업","20030909","바나나노래하는곳","서울특별시 중구 마른내로 165-1 (광희동1가지상2층)","서울특별시 중구 광희동1가  189번지 2호  지상2층","36.40","  0222659853  ","20080331","","20030909","광희동","","","","룸살롱","0","0","1","0","0","20080516","비대상","상수도전용","지상","0","0","","","","","","","0.80","25.41","0.00","8.39","1.80","0.00","0.00","0.00","0.00","0.00","","","3010000-102-2003-00016","","","","","","내국인","대한민국"
