,LINK_ID,Source,Target,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK
54,1010000602,0,1,2,104,0,-,소월로2길,0,0,0,50,0,0,0,143.8008,
53,1010000502,1,0,2,104,0,-,소월로2길,0,0,0,50,0,0,0,145.9752,
55,1010000603,1,-100,2,104,0,-,소월로2길,0,0,0,50,0,0,0,102.2821,
707,1010051000,1,2,1,104,0,-,후암로58길,0,0,0,50,0,0,0,199.1891,
706,1010050900,2,1,1,104,0,-,후암로58길,0,0,0,50,0,0,0,181.0211,
6,1010001602,3,34,4,104,0,-,동호로,0,0,0,60,0,0,0,213.0121,
26,1010053400,3,24,4,104,0,-,동호로,0,0,0,60,0,0,0,127.4427,
76,1010001800,3,95,2,104,0,-,다산로,0,0,0,60,0,0,0,665.398,
710,1010051300,3,-100,2,104,0,-,다산로,0,0,0,60,0,0,0,990.0763,
49,1,4,29,2,104,0,-,장충단로,0,0,0,60,0,0,0,62.0814,
71,1010001400,4,64,3,104,0,-,장충단로,0,0,0,60,0,0,0,459.0724,
490,172,4,32,1,104,0,-,녹사평대로58길,1,0,0,40,0,0,0,70.6246,
56,1010000701,5,27,4,104,0,-,소파로,1,0,0,50,0,0,0,423.0783,
90,1010002401,5,70,2,104,0,-,소월로,0,0,0,50,0,32000,0,355.3087,
105,1010002801,6,46,2,104,0,-,소공로,0,0,0,30,0,0,420,203.2841,
483,162,6,-100,2,104,4,-,녹사평대로,0,0,0,60,0,0,0,317.457,
79,1010002001,7,50,4,104,0,-,통일로,0,0,0,50,0,0,0,98.9071,
110,1010003001,7,44,5,104,0,-,세종대로,0,0,0,50,0,0,0,66.4464,
733,1010054200,7,289,5,104,0,-,한강대로,0,0,0,50,0,0,0,102.0767,
712,1010051500,8,-100,2,104,4,-,삼일대로,0,0,0,60,0,0,410,854.5361,
730,1010053900,8,36,2,104,0,-,삼일대로,0,0,0,60,0,0,420,108.0957,
218,1010007902,9,147,4,104,0,-,창경궁로,0,0,0,50,0,0,0,146.6828,
256,1010009402,9,171,1,104,0,-,마른내로,0,0,0,30,0,0,0,225.9106,
266,62,9,182,1,104,0,-,마른내로,0,0,0,30,0,0,0,363.0596,
316,84,9,235,3,104,0,-,창경궁로,1,0,0,50,0,0,0,258.2461,
261,57,10,172,1,104,0,-,마른내로,0,0,0,30,0,0,0,262.9094,
277,67,10,180,1,104,0,-,마른내로,0,0,0,30,0,0,0,205.0759,
319,1010013001,10,11,1,104,0,-,수표로,0,0,0,30,0,0,0,112.9789,
604,292,10,132,1,104,0,-,수표로,0,0,0,30,0,0,0,309.4955,
318,1010012902,11,10,1,104,0,-,수표로,0,0,0,30,0,0,0,113.5916,
320,1010013002,11,227,1,104,0,-,수표로,0,0,0,30,0,0,0,43.114,
279,68,12,187,1,104,0,-,덕수궁길,1,0,0,30,0,0,0,367.7413,
367,101,12,262,1,104,0,-,정동길,0,0,0,30,0,0,0,518.5331,
429,126,12,274,1,104,0,-,덕수궁길,0,0,0,30,0,0,0,498.4888,
619,307,12,144,1,104,0,-,서소문로11길,0,0,0,30,0,0,0,315.1804,
312,81,13,191,3,104,0,-,을지로,0,0,0,50,0,0,0,122.3477,
339,1010014001,13,213,3,104,0,-,을지로,0,0,0,50,0,0,0,56.4458,
369,103,13,14,2,104,0,-,무교로,0,0,0,30,0,0,0,112.4644,
